Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Symptom 17
(vertigo) Paroymsal  Positional Vertigo,vomiting,unsteadiness,headache,spinning_movements,loss_of_balance,nausea,,,,,,,,,,,
AIDS,high_fever,muscle_wasting,patches_in_throat,extra_marital_contacts,,,,,,,,,,,,,
Acne,skin_rash,pus_filled_pimples,scurring,blackheads,,,,,,,,,,,,,
Alcoholic hepatitis,vomiting,swelling_of_stomach,fluid_overload,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption,yellowish_skin,,,,,,,,,,
Allergy,chills,watering_from_eyes,shivering,continuous_sneezing,,,,,,,,,,,,,
Arthritis,stiff_neck,swelling_joints,movement_stiffness,muscle_weakness,painful_walking,,,,,,,,,,,,
Bronchial Asthma,cough,family_history,mucoid_sputum,fatigue,high_fever,breathlessness,,,,,,,,,,,
Cervical spondylosis,dizziness,weakness_in_limbs,neck_pain,back_pain,loss_of_balance,,,,,,,,,,,,
Chicken pox,loss_of_appetite,red_spots_over_body,headache,lethargy,swelled_lymph_nodes,skin_rash,fatigue,malaise,high_fever,itching,mild_fever,,,,,,
Chronic cholestasis,itching,loss_of_appetite,vomiting,nausea,abdominal_pain,yellowing_of_eyes,yellowish_skin,,,,,,,,,,
Common Cold,chills,cough,redness_of_eyes,headache,continuous_sneezing,throat_irritation,sinus_pressure,loss_of_smell,swelled_lymph_nodes,muscle_pain,phlegm,fatigue,chest_pain,malaise,high_fever,runny_nose,congestion
Dengue,chills,loss_of_appetite,vomiting,red_spots_over_body,headache,joint_pain,pain_behind_the_eyes,muscle_pain,skin_rash,fatigue,back_pain,malaise,high_fever,nausea,,,
Diabetes ,increased_appetite,restlessness,lethargy,obesity,excessive_hunger,fatigue,blurred_and_distorted_vision,weight_loss,polyuria,irregular_sugar_level,,,,,,,
Dimorphic hemmorhoids(piles),bloody_stool,constipation,pain_in_anal_region,pain_during_bowel_movements,irritation_in_anus,,,,,,,,,,,,
Drug Reaction,burning_micturition,skin_rash,stomach_pain,spotting_ urination,itching,,,,,,,,,,,,
Fungal infection,skin_rash,nodal_skin_eruptions,itching,dischromic _patches,,,,,,,,,,,,,
GERD,cough,vomiting,stomach_pain,chest_pain,ulcers_on_tongue,acidity,,,,,,,,,,,
Gastroenteritis,sunken_eyes,diarrhoea,vomiting,dehydration,,,,,,,,,,,,,
Heart attack,breathlessness,chest_pain,vomiting,sweating,,,,,,,,,,,,,
Hepatitis B,itching,loss_of_appetite,dark_urine,abdominal_pain,lethargy,yellowing_of_eyes,yellow_urine,fatigue,receiving_unsterile_injections,malaise,yellowish_skin,receiving_blood_transfusion,,,,,
Hepatitis C,yellowish_skin,loss_of_appetite,family_history,yellowing_of_eyes,fatigue,nausea,,,,,,,,,,,
Hepatitis D,nausea,loss_of_appetite,vomiting,joint_pain,dark_urine,abdominal_pain,yellowing_of_eyes,fatigue,yellowish_skin,,,,,,,,
Hepatitis E,nausea,loss_of_appetite,vomiting,joint_pain,dark_urine,abdominal_pain,yellowing_of_eyes,coma,fatigue,stomach_bleeding,high_fever,acute_liver_failure,yellowish_skin,,,,
Hypertension ,dizziness,headache,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hyperthyroidism,irritability,sweating,restlessness,mood_swings,fast_heart_rate,excessive_hunger,diarrhoea,fatigue,weight_loss,muscle_weakness,abnormal_menstruation,,,,,,
Hypoglycemia,irritability,vomiting,sweating,headache,anxiety,excessive_hunger,drying_and_tingling_lips,fatigue,slurred_speech,blurred_and_distorted_vision,nausea,palpitations,,,,,
Hypothyroidism,dizziness,enlarged_thyroid,swollen_extremeties,irritability,mood_swings,lethargy,depression,cold_hands_and_feets,fatigue,brittle_nails,abnormal_menstruation,puffy_face_and_eyes,weight_gain,,,,
Impetigo,skin_rash,red_sore_around_nose,yellow_crust_ooze,blister,high_fever,,,,,,,,,,,,
Jaundice,yellowish_skin,vomiting,dark_urine,abdominal_pain,fatigue,weight_loss,high_fever,itching,,,,,,,,,
Malaria,chills,vomiting,sweating,headache,muscle_pain,diarrhoea,high_fever,nausea,,,,,,,,,
Migraine,stiff_neck,indigestion,irritability,headache,depression,excessive_hunger,blurred_and_distorted_vision,acidity,visual_disturbances,,,,,,,,
Osteoarthristis,knee_pain,joint_pain,swelling_joints,neck_pain,hip_joint_pain,painful_walking,,,,,,,,,,,
Paralysis (brain hemorrhage),weakness_of_one_body_side,vomiting,altered_sensorium,headache,,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,vomiting,abdominal_pain,internal_itching,passage_of_gases,,,,,,,,,,,
Pneumonia,chills,cough,rusty_sputum,sweating,fast_heart_rate,phlegm,fatigue,chest_pain,malaise,high_fever,breathlessness,,,,,,
Psoriasis,skin_peeling,joint_pain,silver_like_dusting,skin_rash,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,
Tuberculosis,chills,cough,loss_of_appetite,vomiting,sweating,yellowing_of_eyes,swelled_lymph_nodes,phlegm,fatigue,chest_pain,malaise,weight_loss,high_fever,breathlessness,mild_fever,blood_in_sputum,
Typhoid,chills,vomiting,belly_pain,headache,abdominal_pain,constipation,diarrhoea,fatigue,high_fever,nausea,toxic_look_(typhos),,,,,,
Urinary tract infection,foul_smell_of urine,bladder_discomfort,continuous_feel_of_urine,burning_micturition,,,,,,,,,,,,,
Varicose veins,swollen_blood_vessels,cramps,obesity,bruising,swollen_legs,fatigue,prominent_veins_on_calf,,,,,,,,,,
hepatitis A,yellowish_skin,loss_of_appetite,vomiting,joint_pain,dark_urine,abdominal_pain,yellowing_of_eyes,muscle_pain,diarrhoea,nausea,mild_fever,,,,,,
